Fecha y Hora;Temperatura (Â°C)
16/12/2024 12:03:00 AM;7.19
16/12/2024 12:29:00 AM;10.24
16/12/2024 12:48:00 AM;16.19
16/12/2024 01:12:00 AM;9.77
16/12/2024 01:37:00 AM;8.16
16/12/2024 01:54:00 AM;1.84
16/12/2024 02:00:00 AM;10.83
16/12/2024 02:15:00 AM;8.15
16/12/2024 02:39:00 AM;13.38
16/12/2024 02:48:00 AM;15.86
16/12/2024 03:15:00 AM;13.62
16/12/2024 03:39:00 AM;6.77
16/12/2024 03:50:00 AM;1.96
16/12/2024 04:12:00 AM;14.52
16/12/2024 04:14:00 AM;17.58
16/12/2024 04:38:00 AM;11.62
16/12/2024 04:52:00 AM;0.88
16/12/2024 05:12:00 AM;0.62
16/12/2024 05:33:00 AM;4.25
16/12/2024 06:03:00 AM;1.11
16/12/2024 06:25:00 AM;6.21
16/12/2024 06:52:00 AM;17.09
16/12/2024 07:21:00 AM;5.69
16/12/2024 07:51:00 AM;9.6
16/12/2024 07:59:00 AM;16.55
16/12/2024 08:11:00 AM;7.05
16/12/2024 08:39:00 AM;9.02
16/12/2024 08:53:00 AM;1.87
16/12/2024 09:22:00 AM;2.17
16/12/2024 09:25:00 AM;14.95
16/12/2024 09:52:00 AM;1.06
16/12/2024 10:15:00 AM;17.78
16/12/2024 10:17:00 AM;10.4
16/12/2024 10:29:00 AM;6.09
16/12/2024 10:45:00 AM;16.44
16/12/2024 10:56:00 AM;13.8
16/12/2024 11:26:00 AM;11.01
16/12/2024 11:53:00 AM;7.13
16/12/2024 12:18:00 PM;4.82
16/12/2024 12:29:00 PM;9.11
16/12/2024 12:46:00 PM;6.97
16/12/2024 12:57:00 PM;17.16
16/12/2024 12:58:00 PM;17.72
16/12/2024 01:21:00 PM;5.54
16/12/2024 01:44:00 PM;16.27
16/12/2024 02:05:00 PM;3.82
16/12/2024 02:07:00 PM;6.67
16/12/2024 02:12:00 PM;10.83
16/12/2024 02:38:00 PM;0.06
16/12/2024 03:00:00 PM;12.7
16/12/2024 03:19:00 PM;16.14
16/12/2024 03:44:00 PM;2.83
16/12/2024 03:46:00 PM;12.24
16/12/2024 04:07:00 PM;10.67
16/12/2024 04:34:00 PM;5.57
16/12/2024 04:36:00 PM;4.87
16/12/2024 04:52:00 PM;19.26
16/12/2024 05:21:00 PM;8.93
16/12/2024 05:51:00 PM;5.08
16/12/2024 06:05:00 PM;7.91
16/12/2024 06:14:00 PM;18.81
16/12/2024 06:38:00 PM;5.54
16/12/2024 07:01:00 PM;16.41
16/12/2024 07:18:00 PM;19.36
16/12/2024 07:19:00 PM;5.73
16/12/2024 07:34:00 PM;4.43
16/12/2024 07:41:00 PM;16.59
16/12/2024 07:50:00 PM;15.93
16/12/2024 07:59:00 PM;12.45
16/12/2024 08:27:00 PM;3.62
16/12/2024 08:38:00 PM;5.29
16/12/2024 08:50:00 PM;11.7
16/12/2024 09:04:00 PM;0.43
16/12/2024 09:13:00 PM;3.93
16/12/2024 09:16:00 PM;5.91
16/12/2024 09:21:00 PM;19.71
16/12/2024 09:30:00 PM;14.64
16/12/2024 09:49:00 PM;15.63
16/12/2024 10:12:00 PM;10.86
16/12/2024 10:23:00 PM;15.09
16/12/2024 10:26:00 PM;19.5
16/12/2024 10:50:00 PM;16.38
16/12/2024 11:05:00 PM;4.56
16/12/2024 11:23:00 PM;9.9
16/12/2024 11:36:00 PM;3.43
17/12/2024 12:02:00 AM;7.43
17/12/2024 12:27:00 AM;4.31
17/12/2024 12:45:00 AM;17.31
17/12/2024 01:15:00 AM;13.87
17/12/2024 01:26:00 AM;18.33
17/12/2024 01:28:00 AM;12.94
17/12/2024 01:56:00 AM;19.34
17/12/2024 02:09:00 AM;18.65
17/12/2024 02:35:00 AM;6.97
17/12/2024 02:49:00 AM;17.78
17/12/2024 02:57:00 AM;0.38
17/12/2024 03:03:00 AM;4.28
17/12/2024 03:28:00 AM;6.23
17/12/2024 03:55:00 AM;6.39
17/12/2024 04:08:00 AM;8.26
17/12/2024 04:32:00 AM;14.1
17/12/2024 04:34:00 AM;2.74
17/12/2024 04:52:00 AM;14.05
17/12/2024 05:22:00 AM;7.84
17/12/2024 05:33:00 AM;11.55
17/12/2024 06:01:00 AM;11.87
17/12/2024 06:27:00 AM;10.28
17/12/2024 06:53:00 AM;2.99
17/12/2024 07:04:00 AM;7.91
17/12/2024 07:07:00 AM;3.41
17/12/2024 07:27:00 AM;1.31
17/12/2024 07:35:00 AM;2.08
17/12/2024 08:05:00 AM;13.81
17/12/2024 08:16:00 AM;4.69
17/12/2024 08:20:00 AM;17.61
17/12/2024 08:27:00 AM;17.19
17/12/2024 08:56:00 AM;16.1
17/12/2024 09:08:00 AM;6.38
17/12/2024 09:29:00 AM;14.93
17/12/2024 09:42:00 AM;16.67
17/12/2024 09:46:00 AM;8.53
17/12/2024 09:54:00 AM;19.28
17/12/2024 09:56:00 AM;17.04
17/12/2024 10:18:00 AM;19.89
17/12/2024 10:44:00 AM;17.88
17/12/2024 10:47:00 AM;7.75
17/12/2024 11:01:00 AM;11.23
17/12/2024 11:04:00 AM;4.5
17/12/2024 11:11:00 AM;10.21
17/12/2024 11:26:00 AM;11.25
17/12/2024 11:32:00 AM;11.27
17/12/2024 11:36:00 AM;4.58
17/12/2024 11:41:00 AM;2.56
17/12/2024 11:54:00 AM;1.38
17/12/2024 12:10:00 PM;8.72
17/12/2024 12:16:00 PM;11.34
17/12/2024 12:29:00 PM;12.0
17/12/2024 12:37:00 PM;16.15
17/12/2024 12:52:00 PM;14.97
17/12/2024 01:19:00 PM;3.81
17/12/2024 01:38:00 PM;14.19
17/12/2024 02:01:00 PM;6.62
17/12/2024 02:14:00 PM;15.77
17/12/2024 02:29:00 PM;14.39
17/12/2024 02:36:00 PM;10.81
17/12/2024 03:00:00 PM;12.47
17/12/2024 03:06:00 PM;17.92
17/12/2024 03:30:00 PM;2.32
17/12/2024 03:44:00 PM;14.62
17/12/2024 04:02:00 PM;11.91
17/12/2024 04:28:00 PM;11.36
17/12/2024 04:58:00 PM;2.31
17/12/2024 05:13:00 PM;15.28
17/12/2024 05:17:00 PM;0.51
17/12/2024 05:43:00 PM;19.98
17/12/2024 06:10:00 PM;11.84
17/12/2024 06:11:00 PM;15.15
17/12/2024 06:38:00 PM;1.26
17/12/2024 06:54:00 PM;17.79
17/12/2024 07:21:00 PM;7.9
17/12/2024 07:38:00 PM;0.02
17/12/2024 08:07:00 PM;15.5
17/12/2024 08:33:00 PM;5.15
17/12/2024 08:38:00 PM;5.94
17/12/2024 08:41:00 PM;12.89
17/12/2024 08:59:00 PM;6.48
17/12/2024 09:14:00 PM;14.29
17/12/2024 09:43:00 PM;4.34
17/12/2024 10:11:00 PM;4.32
17/12/2024 10:20:00 PM;11.06
17/12/2024 10:40:00 PM;19.53
17/12/2024 10:57:00 PM;9.72
17/12/2024 11:20:00 PM;1.97
17/12/2024 11:25:00 PM;1.24
17/12/2024 11:32:00 PM;12.89
17/12/2024 11:37:00 PM;13.27
17/12/2024 11:56:00 PM;10.95
18/12/2024 12:01:00 AM;0.74
18/12/2024 12:13:00 AM;6.76
18/12/2024 12:24:00 AM;17.53
18/12/2024 12:37:00 AM;7.02
18/12/2024 12:39:00 AM;13.02
18/12/2024 12:48:00 AM;19.0
18/12/2024 01:10:00 AM;3.31
18/12/2024 01:39:00 AM;2.48
18/12/2024 01:47:00 AM;12.47
18/12/2024 02:17:00 AM;4.83
18/12/2024 02:30:00 AM;10.07
18/12/2024 02:42:00 AM;5.47
18/12/2024 02:47:00 AM;8.26
18/12/2024 02:55:00 AM;9.27
18/12/2024 03:11:00 AM;10.01
18/12/2024 03:35:00 AM;18.36
18/12/2024 03:46:00 AM;6.56
18/12/2024 03:49:00 AM;14.91
18/12/2024 04:19:00 AM;18.13
18/12/2024 04:24:00 AM;17.33
18/12/2024 04:50:00 AM;4.83
18/12/2024 05:03:00 AM;18.36
18/12/2024 05:15:00 AM;11.64
